"code";"parent_code";"name";"accountType.technicalTypeSelect";"reconcileOk";"useForPartnerBalance";"isTaxAuthorizedOnMoveLine";"isTaxRequiredOnMoveLine";"company_code"
0;"";Racine PCG;view;;;;;1
"CL1_5";0;Comptes de bilan;view;;;;;1
"CL6_7";0;Comptes de gestion;view;;;;;1
"CL1";"CL1_5";Comptes de capitaux;view;;;;;1
"CL2";"CL1_5";Comptes d'immobilisations;view;;;;;1
"CL3";"CL1_5";Comptes de stocks et d'en-cours;view;;;;;1
"CL4";"CL1_5";Comptes de tiers;view;;;;;1
"CL5";"CL1_5";Comptes financiers;view;;;;;1
"CL6";"CL6_7";Comptes de charges;view;;;;;1
"CL7";"CL6_7";Comptes de produits;view;;;;;1
"CL8";0;Comptes spéciaux;view;;;;;1
10;"CL1";10;view;;;;;1
12;"CL1";12;view;;;;;1
15;"CL1";15;view;;;;;1
16;"CL1";16;view;;;;;1
20;"CL2";20;view;;;;;1
21;"CL2";21;view;;;;;1
23;"CL2";23;view;;;;;1
26;"CL2";26;view;;;;;1
27;"CL2";27;view;;;;;1
28;"CL2";28;view;;;;;1
29;"CL2";29;view;;;;;1
37;"CL3";37;view;;;;;1
39;"CL3";39;view;;;;;1
40;"CL4";40;view;;;;;1
41;"CL4";41;view;;;;;1
42;"CL4";42;view;;;;;1
43;"CL4";43;view;;;;;1
44;"CL4";44;view;;;;;1
45;"CL4";45;view;;;;;1
46;"CL4";46;view;;;;;1
47;"CL4";47;view;;;;;1
48;"CL4";48;view;;;;;1
49;"CL4";49;view;;;;;1
50;"CL5";50;view;;;;;1
51;"CL5";51;view;;;;;1
53;"CL5";53;view;;;;;1
58;"CL5";58;view;;;;;1
59;"CL5";59;view;;;;;1
60;"CL6";60;view;;;;;1
61;"CL6";61;view;;;;;1
62;"CL6";62;view;;;;;1
63;"CL6";63;view;;;;;1
64;"CL6";64;view;;;;;1
65;"CL6";65;view;;;;;1
66;"CL6";66;view;;;;;1
67;"CL6";67;view;;;;;1
68;"CL6";68;view;;;;;1
69;"CL6";69;view;;;;;1
70;"CL7";70;view;;;;;1
74;"CL7";74;view;;;;;1
75;"CL7";75;view;;;;;1
76;"CL7";76;view;;;;;1
77;"CL7";77;view;;;;;1
78;"CL7";78;view;;;;;1
79;"CL7";79;view;;;;;1
101;10;Capital;equity;;;;;1
104;10;Primes liées au capital social;equity;;;;;1
106;10;Réserves;equity;;;;;1
120;12;Résultat de l'exercice (bénéfice ou perte);view;;;;;1
129;12;Résultat de l'exercice (perte);equity;;;;;1
151;15;Provisions pour risques;provision;;;;;1
153;15;Provisions pour pensions et obligations similaires;provision;;;;;1
158;15;Autres provisions pour charges;provision;;;;;1
164;16;Emprunts auprès des établissements de crédit;debt;;;;;1
168;16;Autres emprunts et dettes assimilées;debt;;;;;1
203;20;Frais de recherche et de développement;immobilisation;;;;;1
205;20;Concessions et droits similaires, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires;immobilisation;;;;;1
213;21;Constructions;immobilisation;;;;;1
215;21;Installations techniques matériels et outillages industriels;immobilisation;;;;;1
218;21;Autres immobilisations corporelles;immobilisation;;;;;1
238;23;Avances et acomptes versés sur commandes d'immobilisations corporelles;immobilisation;;;;;1
261;26;Titres de participation;immobilisation;;;;;1
267;26;Créances rattachées à des participations;immobilisation;;;;;1
271;27;Titres immobilisés autres que les titres immobilisés de l'activité de portefeuille (droit de propriété);immobilisation;;;;;1
275;27;Dépôts et cautionnements versés;immobilisation;;;;;1
280;28;Amortissement des immobilisations;view;;;;;1
281;28;Amortissements des immobilisations corporelles;immobilisation;;;;;1
