importId;partnerTypeSelect;isContact;isCustomer;isSupplier;isEmployee;isFactor;name;firstName;titleSelect;languageCode;address;email;fixedPhone;mobilePhone;invoiceSendingFormatSelect;inPaymentMode.importId;outPaymentMode.importId;paymentCondition.importId;partnerCategory.code;currency.code;blocking.importId;rejectCounter;companySet_importId;customerAccount_code;supplierAccount_code;mainPartner_importId;customerTypeSelect;supplierTypeSelect;industrySector.importId;user.importId;team.importId;source.id;fiscalPosition.importId;picture_fileName;invoicesCopySelect;factorizedCustomer;email;companyID
1;1;false;true;true;false;false;DALBE;;1;fr;90000;contact@dalbe.fr;02.33.81.16.55;;emailpaper;;;;SME;EUR;;;1;"4110";"4010";;1;1;;;;;;;;;;"1"
2;1;false;false;true;false;false;MOLOTOW FEURSTEIN GMBH;;1;fr;;;;;emailpaper;;;;WHSAL;EUR;;;1;"4110";"4010_MOLOTOW FEURSTEIN GMBH";;3;1;;;;;;;;;;"1"
3;1;false;false;true;false;false;CANSON;;1;fr;;;;;emailpaper;;;;WHSAL;EUR;;;1;"4110";"4010_CANSON";;3;1;;;;;;;;;;"1"
4;1;false;false;true;false;false;FABER-CASTELL;;1;fr;;;;;emailpaper;;;;WHSAL;EUR;;;1;"4110";"4010_FABER-CASTELL";;3;1;;;;;;;;;;"1"
5;1;false;false;true;false;false;PRINCE AUGUST;;1;fr;;;;;emailpaper;;;;WHSAL;EUR;;;1;"4110";"4010_PRINCE AUGUST";;3;1;;;;;;;;;;"1"
6;1;false;false;true;false;false;L'ATELIER DU TOTE BAG;;1;fr;;;;;emailpaper;;;;WHSAL;EUR;;;1;"4110";"4010_L'ATELIER DU TOTE BAG";;3;1;;;;;;;;;;"1"
7;1;false;false;true;false;false;SAS MILHE ET AVONS;;1;fr;;;;;emailpaper;;;;WHSAL;EUR;;;1;"4110";"4010_SAS MILHE ET AVONS";;3;1;;;;;;;;;;"1"
8;1;false;false;true;false;false;VETEMENT-PUBLICITAIRE.COM;;1;fr;;;;;emailpaper;;;;WHSAL;EUR;;;1;"4110";"4010_VETEMENT-PUBLICITAIRE.COM";;3;1;;;;;;;;;;"1"
9;1;false;false;true;false;false;ASSOUN DISTRIBUTION;;1;fr;;;;;emailpaper;;;;WHSAL;EUR;;;1;"4110";"4010_ASSOUN DISTRIBUTION";;3;1;;;;;;;;;;"1"
10;1;false;false;true;false;false;SAUER;;1;fr;;;;;emailpaper;;;;WHSAL;EUR;;;1;"4110";"4010_SAUER";;3;1;;;;;;;;;;"1"
