importId;name;code;description;internalDescription;productSubTypeSelect;productFamily.importId;productCategory.importId;expense;procurementMethodSelect;unit.importId;productTypeSelect;salePrice;saleCurrency.code;purchasePrice;purchaseCurrency.code;defaultSupplierPartner.importId;startDate;endDate;saleSupplySelect;costPrice;hasWarranty;warrantyNbrOfMonths;isPerishable;perishableNbrOfMonths;defaultBillOfMaterial.importId;managPriceCoef;picture_fileName;isActivity;productVariantConfig.importId;manageVariantPrice
1;MOLOTOW POCKET FLYER ONE4ALL                                ;271;;;;7;13;false;buy;1;storable;0.0;EUR;0.0;EUR;2;TODAY[1d];;1;;false;;false;;;;;;;
2;MOLOTOW FLYER MASTERPIECE                                   ;273;;;;7;13;false;buy;1;storable;0.0;EUR;0.0;EUR;2;TODAY[1d];;1;;false;;false;;;;;;;
3;MOLOTOW DISPLAY LIQ CHROME X36                              ;461;;;;7;111;false;buy;1;storable;106.86;EUR;86.88;EUR;2;TODAY[1d];;1;;false;;false;;;;;;;
4;PURO NUANCIER FAIT MAIN                                     ;493;;Réf. fournisseur : 9250015V1;;7;112;false;buy;1;storable;0.0;EUR;0.0001;EUR;3;TODAY[1d];;1;;false;;false;;;;;;;
5;MOLOTOW DISP MASTERPIECE X7                                 ;586;;;;7;111;false;buy;1;storable;46.48;EUR;38.29;EUR;2;TODAY[1d];;1;;false;;false;;;;;;;
6;MOLOTOW DISP BLACKL BRUSH X34                               ;587;;;;7;113;false;buy;1;storable;48.97;EUR;39.62;EUR;2;TODAY[1d];;1;;false;;false;;;;;;;
7;MOLOTOW DISP LIQUID CHR IV X42                              ;588;;;;7;111;false;buy;1;storable;157.12;EUR;129.21;EUR;2;TODAY[1d];;1;;false;;false;;;;;;;
8;MOLOTOW DISP DRIPSTICK V X21                                ;589;;;;7;114;false;buy;1;storable;39.21;EUR;31.72;EUR;2;TODAY[1d];;1;;false;;false;;;;;;;
9;MOLOTOW DISP DRIPSTICK RB X28                               ;590;;;;7;111;false;buy;1;storable;74.93;EUR;62.44;EUR;2;TODAY[1d];;1;;false;;false;;;;;;;
10;PRES SURLIGNEURS METALLIC X80 FABER TL1546                  ;600;;;;7;115;false;buy;1;storable;35.0;EUR;34.16;EUR;4;TODAY[1d];;1;;false;;false;;;;;;;
11;MOLOTOW DISP MASKING LIQUI X30                              ;602;;;;7;116;false;buy;1;storable;75.65;EUR;61.5;EUR;2;TODAY[1d];;1;;false;;false;;;;;;;
12;MOLOTOW DISPLAY BLACKLINER X78                              ;612;;;;7;113;false;buy;1;storable;74.99;EUR;63.18;EUR;2;TODAY[1d];;1;;false;;false;;;;;;;
13;PRESENTOIR AIR ESSENTIEL      AEROGRAPHIE                   ;613;;;;7;117;false;buy;1;storable;692.48;EUR;602.16;EUR;5;TODAY[1d];;1;;false;;false;;;;;;;
14;PRESENTOIR AIR INTEGRAL       AEROGRAPHIE                   ;614;;;;7;117;false;buy;1;storable;1493.99;EUR;1299.12;EUR;5;TODAY[1d];;1;;false;;false;;;;;;;
15;PRESENTOIR SPECIAL AERO       AEROGRAPHIE                   ;615;;;;7;117;false;buy;1;storable;1151.89;EUR;1001.64;EUR;5;TODAY[1d];;1;;false;;false;;;;;;;
16;SAC TOTE BAG NOIR DALBE 38X42CM 100%COTON 140G  ANSE 70CM   ;643;"<p>Sac 100% coton, 140G, 38x42cm<br />70cm anse longue</p>
<p>Certification OEKO-TEX</p>
<p>Imprimé en France</p>";;;7;13;false;buy;1;storable;2.0;EUR;1.45;EUR;6;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/1/5/4/9/3/15493.jpg,http://www.dalbe.fr/img/p/1/5/4/9/4/15494.jpg,http://www.dalbe.fr/img/p/1/5/4/9/5/15495.jpg;;;
17;SAC KRAFT DALBE 23X31CM       12CM SOUFFLET LOGO NOIR       ;644;;;;7;13;false;buy;1;storable;0.23;EUR;0.22899999999999998;EUR;7;TODAY[1d];;1;;false;;false;;;;;;;
18;SAC KRAFT DALBE 54X50CM       14CM SOUFFLET LOGO NOIR       ;645;;;;7;13;false;buy;1;storable;0.46;EUR;0.452;EUR;7;TODAY[1d];;1;;false;;false;;;;;;;
19;SAC CABAS NOIR 65X70 15CM SOUFFLET 100% COTON 220G ANSE 70CM;646;"<div class=""btm_content desc"">
<p>Sac 100% coton, 220G, 65x70cm<br />70cm anse longue</p>
Ce sac en coton est biodégradalbe et recyclable.</div>
<div class=""btm_content desc""></div>
<div class=""btm_content desc"">Vendu seul.</div>";;;7;13;false;buy;1;storable;4.9;EUR;3.6;EUR;7;TODAY[1d];;1;;false;;false;;;;http://www.dalbe.fr/img/p/1/4/6/7/6/14676.jpg,http://www.dalbe.fr/img/p/1/4/6/7/7/14677.jpg;;;
20;T-SHIRT NR COL RD TAILLE M    MANCHE COURT 100%COTON        ;647;;;;7;13;false;buy;1;storable;3.8;EUR;3.06;EUR;8;TODAY[1d];;1;;false;;false;;;;;;;
21;T-SHIRT NR COL RD TAILLE XL   MANCHE COURT 100%COTON        ;648;;;;7;13;false;buy;1;storable;3.8;EUR;3.06;EUR;8;TODAY[1d];;1;;false;;false;;;;;;;
