importId;code;name;parent_code
1;PUB ;PUB ET DOCUMENTS ;
2;ARTS;ARTS GRAPHIQUES ;
3;BEAU;BEAUX ARTS ;
4;PAPE;PAPETERIE ;
5;LOIS;LOISIRS ;
6;MOBI;MOBILIER ;
7;SIGN;SIGNALETIQUE ;
8;LIBR;LIBRAIRIE ;
9;METI;METIERS D'ART ;
10;ENFA;ENFANTS ;
11;PAPI;PAPIERS ;
12;ENCA;ENCADREMENT ;
13; ; ;1
14;FEUT;FEUTRES ;2
15;HUIL;HUILE ;3
16;ECRI;ECRITURE ;4
17;ADJU;ADJUVANTS ;3
18;AERO;AEROGRAPHIE ;2
19;ECRI;ECRITURE FANTAISIE ;5
20; ; ;6
21;ACCE;ACCESSOIRES BEAUX ARTS ;3
22; ; ;7
23;AQUA;AQUARELLE ;3
24;GOUA;GOUACHE ;3
25;ENCR;ENCRES ;3
26;LIVR;LIVRES LOISIRS CREATIFS ;8
27;LIVR;LIVRES BEAUX-ARTS ;8
28;LIVR;LIVRES PAPIERS ;8
29;LIVR;LIVRES ENFANTS ;8
30;LIVR;LIVRES ARTS GRAPHIQUES ;8
31;LIVR;LIVRES METIERS D'ART ;8
32;LIVR;LIVRES ENCADREMENT ;8
33;CRAY;CRAYONS ;3
34;NUAN;NUANCIER ;2
35;OUTI;OUTILS DESSIN ;2
36;MATE;MATERIEL DE DESSIN ;2
37;DORU;DORURE ET PATINE ;9
38;MOBI;MOBILIER DE DESSIN ;2
39;ECRI;ECRITURE CALIBREE ;2
40;ACRY;ACRYLIQUE ;3
41;PEIN;PEINTURE ENFANTS ;10
42;GRAV;GRAVURE ;9
43;DIVE;DIVERS LOISIRS ;5
44;COUL;COULEURS LOISIRS ;5
45;PAPI;PAPIERS DESSIN ;11
46;PAPI;PAPIERS BEAUX-ARTS ;11
47;PINC;PINCEAUX ;3
48;COLO;COLORIAGE ;10
49;PASS;PASSE-PARTOUT ;12
50;CADR;CADRES ;12
51;ACCR;ACCROCHAGE ;12
52;MESU;MESURE ET TRACAGE ;12
53;OUTI;OUTILS ENCADREMENT ;12
54;QUIN;QUINCAILLERIE ENCADREMENT ;12
55;BAGU;BAGUETTES ;12
56;RELI;RELIURE ;9
57;SUPP;SUPPORTS ENCADREMENT ;12
58;ACCE;ACCESSOIRES ENCADREMENT ;12
59;CALL;CALLIGRAPHIE ;3
60;PAST;PASTELS et CRAIES ;3
61;PAST;PASTELS ET CRAIES ;3
62;COLL;COLLES ;2
63;ACTI;ACTIVITES DIVERSES ;5
64;PIGM;PIGMENTS ;3
65;SUPP;SUPPORTS ARTS GRAPHIQUES ;11
66;COUL;COULEURS ;2
67;TOIL;TOILES ;3
68;SUPP;SUPPORTS A PEINDRE DIVERS ;3
69;SUPP;SUPPORTS A DECORER ;5
70;CANN;CANNAGE/REMPAILLAGE ;9
71;EBEN;EBENISTERIE ;3
72;MODE;MODELAGE ;9
73;SCUL;SCULPTURE ;9
74;MODE;MODELAGE ;10
75;MODE;MODELAGE ;5
76;MOSA;MOSAIQUE ;9
77;MOSA;MOSAIQUE ;5
78;SCRA;SCRAPBOOKING ;5
79;MOUL;MOULAGE ;9
80;MAQU;MAQUILLAGE ;10
81;DEGU;DEGUISEMENT ;10
82;PAPI;PAPIERS LOISIRS ;11
83;KITS;KITS ENFANTS ;10
84;ACCE;ACCESSOIRES DIVERS ;4
85;COUL;COULEURS ET ADJUVANTS ;9
86;SERI;SERIGRAPHIE ;9
87;MAQU;MAQUETTE ;9
88;TRAN;TRANSPORT ;2
89;PRES;PRESENTATION ;2
90;CLAS;CLASSEMENT ;4
91;BURE;BUREAU ;4
92;PAPI;PAPIERS ;4
93;RELI;RELIURE ;4
94;MESU;MESURE ET TRACAGE ;4
95;SCOL;SCOLAIRE ;4
96;SUPP;SUPPORTS ARTS GRAPHIQUES ;2
97;DECO;DECOUPE ;12
98;DECO;DECOUPE ;10
99;ADHE;ADHESIFS GRAPHIQUES ;2
100;PAPI;PAPIERS ENFANTS ;10
101;PAPI;PAPIERS DE COULEURS ;11
102;PAPI;PAPIERS TECHNIQUES ;11
103;PAPI;PAPIERS CALLIGRAPHIE ;11
104; ; ;13
105;SUPP;SUPPORTS JET D'ENCRE ;11
106;PAPI;PAPIERS RELIURE ;11
107;SUPP;SUPPORTS ;10
108;DIVE;DIVERS ENFANTS ;10
109;DIVE;DIVERS ;12
110; ; ;13
111;MARQ;MARQUEURS A ALCOOL ;14
112;HUIL;HUILE EXTRA-FINE ;15
113;MARQ;MARQUEURS & FEUTRES ENCRE PIGMENTEE ;14
114;ACCE;ACCESSOIRES MARQUEURS ;14
115;SURL;SURLIGNEURS ;16
116;ADJU;ADJUVANTS AQUARELLE ;17
117;ACCE;ACCESSOIRES AERO ;18
118;FEUT;FEUTRES ET STYLOS ;19
119;BOIT;BOITES RANGEMENT BEAUX ARTS ;21
120;AQUA;AQUARELLE EXTRA-FINE ;23
121;ADJU;ADJUVANTS HUILE A L'EAU ;17
122;ADJU;ADJUVANTS HUILE ;17
123;ADJU;ADJUVANTS ALKYDE ;17
124;GOUA;GOUACHE FINE ;24
125;ENCR;ENCRE DE CHINE ;25
126;ENCR;ENCRE A DESSINER ;25
127;PERL;PERLES ET BIJOUX ;26
128;HOME;HOME DECO ;26
129;DIVE;DIVERS LOISIRS ;26
130;COLO;COLORIAGE ;26
131;FEUT;FEUTRINE ;26
132;AQUA;AQUARELLE ;27
133;INIT;INITIATION PEINTURE ;27
134;INIT;INITIATION DESSIN ;27
135;PAST;PASTEL ;27
136;ACRY;ACRYLIQUE ;27
137;PLAI;PLAISIRS DE LA TABLE ;26
138;PORC;PORCELAINE ;26
139;MANG;MANGA/BD ;27
140;PLIA;PLIAGE ET DECOUPAGE ;28
141;MODE;MODELAGE ET MOULAGE ;26
142;LIVR;LIVRES ENFANTS ;29
143;MAQU;MAQUILLAGE ET FETE ;26
144;STRE;STREET ART ;27
145;LIVR;LIVRES ARTS GRAPHIQUES ;30
146;REST;RESTAURATION ;27
147;CALL;CALLIGRAPHIE ;27
148;HUIL;HUILE ;27
149;PEIN;PEINTURE CHINOISE ET JAPONAISE ;27
150;DIVE;DIVERS PAPIERS ;28
151;RELI;RELIURE ;31
152;GRAV;GRAVURE RELIEF ;31
153;GRAV;GRAVURE SUR VERRE ;31
154;ART ;ART THERAPIE ;26
155;SCOU;SCOUBIDOUS ET ART DU FIL ;26
156;VANN;VANNERIE ;31
157;MOUL;MOULAGE ;31
158;SCUL;SCULPTURE ;31
159;SERI;SERIGRAPHIE ;31
160;LINO;LINOGRAVURE ;27
161;SCRA;SCRAPBOOKING ;26
162;ORIG;ORIGAMI ;28
163;CART;CARTONNAGE ;28
164;LIVR;LIVRES ENCADREMENT ;32
165;PEIN;PEINTRES ;27
166;GOUA;GOUACHE ;27
167;FUSA;FUSAIN ;33
168;SYST;SYSTÈME PANTONE ;34
169;COMP;COMPAS ET ACCESSOIRES ;35
170;EQUE;EQUERRES ;35
171;TES ;TES ;35
172;RAPP;RAPPORTEURS ;35
173;PIST;PISTOLETS ;35
174;COUR;COURBES ;35
175;REGL;REGLES SOUPLES ;35
176;TRAC;TRACE-LETTRES ;35
177;TRAC;TRACE-TECHNIQUE ;35
178;PLUM;PLUMES POUR TRACE-LETTRES ;35
179;TRAC;TRACAGE DIVERS ;35
180;PANT;PANTOGRAPHES ;35
181;PLAN;PLANCHES A DESSIN ;36
182;REGL;REGLES DE COUPE ;35
183;REGL;REGLES PLATES ;35
184;REGL;REGLETS METALLIQUES ;35
185;ECHE;ECHELLES DE REDUCTION ;35
186;METR;METRES A RUBAN ;35
187;PIED;PIEDS A COULISSE ;35
188;REGL;REGLES A ROULEAU ;35
189;PATI;PATINE ;37
190;TABL;TABLES A DESSIN ;38
191;STYL;STYLOS TUBULAIRES ;39
192;ACCE;ACCESSOIRES POUR PLANS ;36
193;REGL;REGLES PARALLELES ;36
194;LAMP;LAMPES A DESSIN ET ACCESSOIRES ;36
195;TABL;TABLETTE GRAPHIQUE ET ACCESSOIRES ;36
196;ACRY;ACRYLIQUE FINE ;40
197;ACCE;ACCESSOIRES PEINTURE ENFANTS ;41
198;GOUA;GOUACHE SCOLAIRE ;24
199;ACRY;ACRYLIQUE ENFANTS ;41
200;ENCR;ENCRE POUR GRAVURE ;42
201;ADJU;ADJUVANTS ACRYLIQUE ;17
202;ENCR;ENCRE ACRYLIQUE ;25
203;AQUA;AQUARELLE FINE ;23
204;ACRY;ACRYLIQUE ETUDE ;40
205;ACRY;ACRYLIQUE EXTRA-FINE ;40
206;CRAQ;CRAQUELURE/VIEILLISSEMENT ;37
207;ADJU;ADJUVANTS DIVERS ;43
208;COUL;COULEURS POUR PORCELAINE ET AUXILIAIRES ;44
209;COUL;COULEURS TOUS SUPPORTS EN TUBES ;44
210;COUL;COULEURS TOUS SUPPORTS AUXILIAIRES ;44
211;ACCE;ACCESSOIRES COULEURS TOUS SUPPORTS ;44
212;COUL;COULEURS POUR TISSU ET AUXILIAIRES ;44
213;COUL;COULEURS TOUS SUPPORTS EN AEROSOLS ;44
214;CRAY;CRAYONS PASTELS ;33
215;CRAY;CRAYONS ESQUISSE ;33
216;AERO;AEROGRAPHES ;18
217;COMP;COMPRESSEURS ;18
218;LOUP;LOUPES ;36
219;COMP;COMPTE-FILS ;36
220;PREP;PREPARATEURS DE SURFACE ;17
221;TABL;TABLES LUMINEUSES ;36
222;BLOC;BLOCS ASPIRATION ;36
223;BLOC;BLOCS & ALBUMS DESSIN ;45
224;ADJU;ADJUVANTS HUILE ET ACRYLIQUE ;17
225;ADJU;ADJUVANTS CRAYON ;17
226;ADJU;ADJUVANTS DIVERS ;17
227;ACRY;ACRYLIQUE VINYLIQUE ;40
228;GOUA;GOUACHE EXTRA-FINE ;24
229;GOUA;GOUACHE ETUDE ;24
230;ADJU;ADJUVANTS GOUACHE ;17
231;PAPI;PAPIERS MULTI-TECHNIQUE ;46
232;PINC;PINCEAUX TOUTES ACTIVITES ;47
233;CRAI;CRAIES ET CRAYONS ENFANTS ;48
234;LINO;LINOGRAVURE ;42
